OBJECTID_1,SABL_PWSID,WATER_SYST,WATER_SY_1,BOUNDARY_T,REGULATING,COUNTY,ADDR_LINE_,ADDR_LIN_1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,STATE_CLAS,POPULATION,SERVICE_CO,VERIFIED_S,LAST_EDITE,VERIFIED_N,VERIFIED_T,DT_VERIFIE,CREATED_US,CREATED_DA,LAST_EDI_1,OBJECTID,BOUNDARY_F,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,FEDERAL_CL,Shape__Are,Shape__Len,SHAPE,CIscore2018_min,CIscore2018_max,CIscore2018_mean,CIscoreP2018_min,CIscoreP2018_max,CIscoreP2018_mean
"400535",CA4901165,CA4901165,JEHOVAH S WITNESSES HALL,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,292 Millbrae Avenue,,SANTA ROSA,CA,"95407",TRANSIENT NON-COMMUNITY,"650","1",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1992/12/08,P,TRANSIENT NON-COMMUNITY,14097.618399549999594,509.089411883388038,,39.900000,39.900000,39.900000,76.000000,76.000000,76.000000
"400536",CA0707577,CA0707577,RIVERVIEW WATER ASSOCIATION,Water Service Area,LPA37 - CONTRA COSTA COUNTY,CONTRA COSTA,3753 WILLOW RD,,BETHEL ISLAND,CA,"94511",COMMUNITY,"230","86",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/05/10,P,COMMUNITY,80541.045866795015172,2370.758952624750236,,,,,,,
"400537",CA2010800,CA2010800,CENTRAL CA WOMENS FACILITY,Water Service Area,DISTRICT 11 - MERCED,MADERA,23370 ROAD 22,P.O. BOX 1501,CHOWCHILLA,CA,"93610",COMMUNITY,"2817","656",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1990/08/03,S,COMMUNITY,4212049.414062350057065,8184.979977573710130,,50.880000,50.880000,50.880000,90.000000,90.000000,90.000000
"400538",CA1910036,CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,Water Service Area,DISTRICT 22 - ANGELES,LOS ANGELES,2000 SOUTH TUBEWAY AVE,,COMMERCE,CA,"90040",COMMUNITY,"151300","26115",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,28132505.733951501548290,32183.843250201498449,,40.670000,80.730000,55.824103,77.000000,100.000000,92.051282
"400539",CA0800850,CA0800850,SEA WEST RESTAURANT,Water Service Area,DISTRICT 01 - KLAMATH,DEL NORTE,6655 LAKE EARL DRIVE,,FORT DICK,CA,"95538",TRANSIENT NON-COMMUNITY,"60","3",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,TRANSIENT NON-COMMUNITY,1205.551248920000035,142.082784859132005,,,,,,,
"400541",CA1400504,CA1400504,BOULDER CREEK TRAILER PARK,Water Service Area,LPA44 - INYO COUNTY,INYO,,,LONE PINE,CA,"93545",TRANSIENT NON-COMMUNITY,"50","20",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/04/30,P,TRANSIENT NON-COMMUNITY,150883.938333180005429,1612.209676706530217,,,,,,,
"400542",CA5410801,CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,Water Service Area,DISTRICT 24 - TULARE,TULARE,26501 AVENUE 140,,PORTERVILLE,CA,"93258",COMMUNITY,"1327","99",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,S,COMMUNITY,1698183.584723989944905,5894.000244106460741,,57.840000,57.840000,57.840000,95.000000,95.000000,95.000000
"400543",CA4901143,CA4901143,SENECA FAMILY OF AGENCIES,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,365 Kuck Lane,,PETALUMA,CA,"94952",NON-TRANSIENT NON-COMMUNITY,"40","5",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1990/03/06,P,NON-TRANSIENT NON-COMMUNITY,22074.709669039999426,623.960242486546008,,,,,,,
"400544",CA5400631,CA5400631,LINNELL FARM LABOR CENTER,Water Service Area,DISTRICT 24 - TULARE,TULARE,1436-3 N. MARIPOSA AVE.,,VISALIA,CA,"93292",COMMUNITY,"694","195",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2014/04/28,P,COMMUNITY,447615.389390685013495,2747.048621276339873,,43.760000,43.760000,43.760000,81.000000,81.000000,81.000000
"400545",CA3301943,CA3301943,PLANTATION ON THE LAKE PARK,Water Service Area,DISTRICT 20 - RIVERSIDE,RIVERSIDE,"10961 DESERT LAWN DRIVE, SP. 320",,CALIMESA,CA,"92320",COMMUNITY,"883","554",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1986/03/28,P,COMMUNITY,911455.263685330050066,3821.912928065980395,,,,,,,
"400546",CA0707617,CA0707617,WILDWOOD ACRES RESORT,Water Service Area,LPA37 - CONTRA COSTA COUNTY,CONTRA COSTA,1055 HUNSAKER CANYON RD,,LAFAYETTE,CA,"94549",TRANSIENT NON-COMMUNITY,"90","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/05/10,P,TRANSIENT NON-COMMUNITY,14438.292388800000481,567.262932620431116,,,,,,,
"400547",CA4901206,CA4901206,ARMIDA WINERY,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,2201 Westside Road,,HEALDSBURG,CA,"95448",TRANSIENT NON-COMMUNITY,"40","4",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1994/01/21,P,TRANSIENT NON-COMMUNITY,87747.209317745000590,1417.654546904490189,,,,,,,
"400548",CA2702180,CA2702180,GRAVES SCHOOL WS,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,SALINAS,CA,"93907",NON-TRANSIENT NON-COMMUNITY,"56","2",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1995/12/22,L,NON-TRANSIENT NON-COMMUNITY,10653.445488335000846,451.520653559232017,,,,,,,
"400549",CA3710037,CA3710037,PADRE DAM MWD,Water Service Area,DISTRICT 14 - SAN DIEGO,SAN DIEGO,9300 Fanita Parkway,,SANTEE,CA,"92071",COMMUNITY,"90707","23102",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,268963992.140024006366730,168151.656503481994150,,48.710000,48.710000,48.710000,88.000000,88.000000,88.000000
"400550",CA4810026,CA4810026,SID - PEABODY,Water Service Area,DISTRICT 04 - SAN FRANCISCO,SOLANO,4958 PEABODY RD,,FAIRFIELD,CA,"94533",COMMUNITY,"66","17",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1999/08/30,L,COMMUNITY,3036913.309894249774516,9613.893385372059129,,,,,,,
"400551",CA3400101,CA3400101,HOOD WATER MAINTENCE DIST [SWS],Water Service Area,LPA64 - SACRAMENTO COUNTY,SACRAMENTO,10775 3RD ST,,HOOD,CA,"95639",COMMUNITY,"100","30",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,L,COMMUNITY,266771.453293149999809,3066.974571703940455,,,,,,,
"400552",CA0202562,CA0202562,SAND FLAT # 1,Water Service Area,LPA32 - ALPINE COUNTY,ALPINE,,,PINECREST,CA,"95364",TRANSIENT NON-COMMUNITY,"25","6",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1997/06/03,F,TRANSIENT NON-COMMUNITY,81047.203596519990242,1176.809490782510011,,,,,,,
"400553",CA0202563,CA0202563,SAND FLAT # 2,Water Service Area,LPA32 - ALPINE COUNTY,ALPINE,,,PINECREST,CA,"95364",TRANSIENT NON-COMMUNITY,"25","6",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2014/10/29,F,TRANSIENT NON-COMMUNITY,20514.704272155002400,685.169282281629989,,,,,,,
"400554",CA4400709,CA4400709,KOINONIA CONFERENCE GROUNDS,Water Service Area,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,1605 Eureka Canyon Rd,,WATSONVILLE,CA,"95076",TRANSIENT NON-COMMUNITY,"150","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/29,P,TRANSIENT NON-COMMUNITY,97779.351553999993484,1424.485835489880174,,,,,,,
"400555",CA4400710,CA4400710,CAMP ST FRANCIS,Water Service Area,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,2320 Sumner Ave,,APTOS,CA,"95003",TRANSIENT NON-COMMUNITY,"50","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/29,P,TRANSIENT NON-COMMUNITY,28434.370570330000191,834.730837589351040,,,,,,,
"400556",CA2702229,CA2702229,MANZANITA PARK WS,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,SALINAS,CA,"93902",TRANSIENT NON-COMMUNITY,"300","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,L,TRANSIENT NON-COMMUNITY,2639528.163494249805808,13824.908713660699505,,,,,,,
"400557",CA0310005,CA0310005,PINE GROVE COMM SERV DIST,Water Service Area,DISTRICT 10 - STOCKTON,AMADOR,19840 State Hwy 88,,PINE GROVE,CA,"95665",COMMUNITY,"846","388",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,29438611.637352399528027,31884.136378565599443,,,,,,,
"400558",CA2600547,CA2600547,CROWLEY LAKE TRAILER PARK,Water Service Area,LPA56 - MONO COUNTY,MONO,515 South Landing Rd.,,CROWLEY LAKE,CA,"93546",COMMUNITY,"230","108",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,29919.791494429999148,846.772023231144999,,,,,,,
"400559",CA1210007,CA1210007,DEL ORO WATER CO-FERNDALE,Water Service Area,DISTRICT 01 - KLAMATH,HUMBOLDT,DRAWER 5172,"995 EUGENE STREET, FERNDALE CA 95536",CHICO,CA,"95927",COMMUNITY,"1998","747",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,8989724.264182159677148,17924.227421944302478,,,,,,,
"400560",CA1400506,CA1400506,HIGH SIERRA WATER COMPANY,Water Service Area,LPA44 - INYO COUNTY,INYO,,,BISHOP,CA,"93514",TRANSIENT NON-COMMUNITY,"200","49",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/04/30,P,TRANSIENT NON-COMMUNITY,32846.104114570000092,805.079606412617068,,,,,,,
"400561",CA1200793,CA1200793,MERRYMAN'S RESTAURANT,Water Service Area,DISTRICT 01 - KLAMATH,HUMBOLDT,100 MOONSTONE BEACH RD.,100 MOONSTONE BEACH RD.,TRINIDAD,CA,"95570",TRANSIENT NON-COMMUNITY,"125","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1985/06/21,P,TRANSIENT NON-COMMUNITY,10503.104602159999558,461.281182662061042,,,,,,,
"400562",CA2702679,CA2702679,AMERICAN LEGION #593 WS,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,SALINAS,CA,"93907",TRANSIENT NON-COMMUNITY,"25","2",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,P,TRANSIENT NON-COMMUNITY,23102.474493120000261,710.961414711384009,,,,,,,
"400563",CA3310017,CA3310017,SOUTH MESA WC,Water Service Area,DISTRICT 20 - RIVERSIDE,RIVERSIDE,391 WEST AVENUE L,,CALIMESA,CA,"92320",COMMUNITY,"9936","2974",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,16126935.023100599646568,20528.359915888100659,,,,,,,
"400564",CA0810303,CA0810303,JEDEDIAH SMITH STATE PARK,Water Service Area,DISTRICT 01 - KLAMATH,DEL NORTE,1375 ELK VALLEY RD.,1440 HWY 199,CRESCENT CITY,CA,"95531",TRANSIENT NON-COMMUNITY,"2202","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,S,TRANSIENT NON-COMMUNITY,111393228.273567005991936,81247.474193239700980,,,,,,,
"400565",CA1400037,CA1400037,FOOTHILL MOBILE HOME PARK,Water Service Area,LPA44 - INYO COUNTY,INYO,,,LONE PINE,CA,"93545",COMMUNITY,"60","48",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/04/30,P,COMMUNITY,57940.157914939998591,1247.801007250970088,,,,,,,
"400566",CA4410001,CA4410001,BIG BASIN WATER COMPANY,Water Service Area,DISTRICT 05 - MONTEREY,SANTA CRUZ,16575 JAMISON CREEK ROAD,,BOULDER CREEK ROAD,CA,"95006",COMMUNITY,"1650","593",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,P,COMMUNITY,49274672.151162296533585,27563.284045242500724,,,,,,,
"400567",CA3700041,CA3700041,BARRETT LAKE MH AND RV LLC,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,PO Box 310033,,GUATAY,CA,"91931",COMMUNITY,"150","58",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,119771.049063579994254,1383.004173038990075,,,,,,,
"400568",CA3910020,CA3910020,STOCKTON VERDE MOBILE HOME PARK,Water Service Area,DISTRICT 10 - STOCKTON,SAN JOAQUIN,4900 N. HIGHWAY 99,,STOCKTON,CA,"95212",COMMUNITY,"596","293",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,495965.178960614954121,3056.005339737000668,,41.420000,42.820000,42.120000,78.000000,80.000000,79.000000
"400569",CA3900927,CA3900927,SPRING CREEK ESTATES PWS,Water Service Area,LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,16306 S MILGEO RD,,RIPON,CA,"95366",COMMUNITY,"90","36",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,L,COMMUNITY,90472.028573980001966,1601.971654123640064,,,,,,,
"400570",CA3900586,CA3900586,B&G MOBILE HOME PARK LLC WS,Water Service Area,LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,24064 N HWY 99,,ACAMPO,CA,"95220",COMMUNITY,"50","22",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,14541.767467314999521,458.083307984536987,,,,,,,
"400571",CA1000003,CA1000003,BEAR CREEK WATER IMPROVEMENT,Water Service Area,DISTRICT 23 - FRESNO,FRESNO,HUNTINGTON LAKE AT BEAR C,,HUNTINGTON LAKE,CA,"93629",TRANSIENT NON-COMMUNITY,"66","53",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,P,TRANSIENT NON-COMMUNITY,597761.652847975026816,4369.910974551509753,,,,,,,
"400572",CA1900599,CA1900599,VALHALLA WATER ASSOCIATION,Water Service Area,LPA49 - LA COUNTY,LOS ANGELES,2356 stonyvale road,,TUJUNGA,CA,"91042",COMMUNITY,"25","9",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,532111.009206090006046,3526.831146947070465,,,,,,,
"400573",CA0500082,CA0500082,ANGELS CAMP RV/CAMPING RESORT,Water Service Area,LPA35 - CALAVERAS COUNTY,CALAVERAS,3069 HWY 49,,ANGELS CAMP,CA,"95222",TRANSIENT NON-COMMUNITY,"228","76",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/29,P,TRANSIENT NON-COMMUNITY,58729.001156899998023,1140.601361201720010,,,,,,,
"400575",CA3510002,CA3510002,"SAN JUAN BAUTISTA, CITY OF",Water Service Area,DISTRICT 05 - MONTEREY,SAN BENITO,OFF MISSION VINEYARD RD,,SAN JUAN BAUTISTA,CA,"95045",COMMUNITY,"2195","804",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,2893610.810269219800830,10725.056827760801752,,,,,,,
"400576",CA3900831,CA3900831,ARBOR MOBILE HOME PARK WS,Water Service Area,LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,19690 N HWY 99,,ACAMPO,CA,"95220",COMMUNITY,"340","173",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,213965.710813674988458,2094.431822873270448,,,,,,,
"400577",CA1400088,CA1400088,DELIGHT'S HOT SPRINGS RESORT,Water Service Area,LPA44 - INYO COUNTY,INYO,,,TECOPA,CA,"92389",TRANSIENT NON-COMMUNITY,"55","26",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/04/30,P,TRANSIENT NON-COMMUNITY,243056.325627935002558,2007.898189262730057,,,,,,,
"400578",CA5800814,CA5800814,BULLARD'S BAR REC FAC WTR SYS,Water Service Area,LPA88 - YUBA COUNTY,YUBA,BULLARDS BAR RESERVOIR,,CAMPTONVILLE,CA,"95922",COMMUNITY,"2200","44",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/28,P,COMMUNITY,6958588.356361419893801,10600.017224186300155,,,,,,,
"400579",CA5200534,CA5200534,PASKENTA COMM. SERVICES DIST.,Water Service Area,DISTRICT 21 - VALLEY,TEHAMA,P.O. Box 182,,PASKENTA,CA,"96074",COMMUNITY,"244","74",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2001/08/16,P,COMMUNITY,2014883.060256490018219,7509.858990906260260,,,,,,,
"400580",CA3010079,CA3010079,EL TORO WATER DISTRICT,Water Service Area,DISTRICT 08 - SANTA ANA,ORANGE,24251 LOS ALISOS BOULEVARD,,LAKE FOREST,CA,"92630",COMMUNITY,"48821","9535",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,30002917.215695500373840,45484.917213836102746,,,,,,,
"400581",CA4400711,CA4400711,CAMP CHESEBROUGH,Water Service Area,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,26005 Highway 9,,LOS GATOS,CA,"95030",TRANSIENT NON-COMMUNITY,"150","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/29,P,TRANSIENT NON-COMMUNITY,1440.076206364999962,145.890760026759011,,,,,,,
"400583",CA2300606,CA2300606,LAKE VIEW MUTUAL WATER CO.,Water Service Area,DISTRICT 03 - MENDOCINO,MENDOCINO,4950 BLACK BART TRAIL,,REDWOOD VALLEY,CA,"95470",COMMUNITY,"90","29",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2019/09/09,P,COMMUNITY,2157578.907764509785920,8264.244178000059037,,,,,,,
"400584",CA4901287,CA4901287,ROCHIOLI WINERY,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,6192 Westside Road,,HEALDSBURG,CA,"95448",TRANSIENT NON-COMMUNITY,"26","6",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,TRANSIENT NON-COMMUNITY,430499.615233055024873,2671.568680432699693,,,,,,,
"400585",CA2810007,CA2810007,TOWN OF YOUNTVILLE,Water Service Area,DISTRICT 03 - MENDOCINO,NAPA,6550 YOUNT ST.,P.O. BOX 2590,YOUNTVILLE,CA,"94599",COMMUNITY,"2751","833",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,6503798.200589979998767,18539.315032085902203,,,,,,,
"400586",CA5800823,CA5800823,COUNTRY AIR MOBILE HOME PARK,Water Service Area,LPA88 - YUBA COUNTY,YUBA,10077 MARYSVILLE RD,,DOBBINS,CA,"95703",COMMUNITY,"100","33",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/28,P,COMMUNITY,56656.910100039996905,1102.626409404830156,,,,,,,
"400588",CA4400604,CA4400604,BRACKEN BRAE COUNTRY CLUB,Water Service Area,DISTRICT 05 - MONTEREY,SANTA CRUZ,395 Burnside Bend,,BOULDER CREEK,CA,"95006",COMMUNITY,"54","24",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/29,P,COMMUNITY,245612.349036830011755,1985.319598605580040,,,,,,,
