,drought_characteristic,income_distribution,income_elasticity,fee_passthrough,reservoir_capacity,pay_back_period,discount_rate,mitigation_decision,build_decision
116,baseline.csv,state,0.1,zero_threshold,5600,20,3.0,improved,none
119,baseline.csv,state,0.1,zero_threshold,5600,20,3.0,build,desal
125,baseline.csv,state,0.1,zero_threshold,5600,20,4.5,build,desal
131,baseline.csv,state,0.1,zero_threshold,5600,30,1.5,build,desal
132,baseline.csv,state,0.1,zero_threshold,5600,30,3.0,baseline,none
134,baseline.csv,state,0.1,zero_threshold,5600,30,3.0,improved,none
137,baseline.csv,state,0.1,zero_threshold,5600,30,3.0,build,desal
143,baseline.csv,state,0.1,zero_threshold,5600,30,4.5,build,desal
149,baseline.csv,state,0.1,zero_threshold,5600,40,1.5,build,desal
150,baseline.csv,state,0.1,zero_threshold,5600,40,3.0,baseline,none
152,baseline.csv,state,0.1,zero_threshold,5600,40,3.0,improved,none
155,baseline.csv,state,0.1,zero_threshold,5600,40,3.0,build,desal
161,baseline.csv,state,0.1,zero_threshold,5600,40,4.5,build,desal
167,baseline.csv,state,0.1,high_threshold,1400,20,1.5,build,desal
168,baseline.csv,state,0.1,high_threshold,1400,20,3.0,baseline,none
170,baseline.csv,state,0.1,high_threshold,1400,20,3.0,improved,none
173,baseline.csv,state,0.1,high_threshold,1400,20,3.0,build,desal
179,baseline.csv,state,0.1,high_threshold,1400,20,4.5,build,desal
185,baseline.csv,state,0.1,high_threshold,1400,30,1.5,build,desal
186,baseline.csv,state,0.1,high_threshold,1400,30,3.0,baseline,none
188,baseline.csv,state,0.1,high_threshold,1400,30,3.0,improved,none
191,baseline.csv,state,0.1,high_threshold,1400,30,3.0,build,desal
197,baseline.csv,state,0.1,high_threshold,1400,30,4.5,build,desal
203,baseline.csv,state,0.1,high_threshold,1400,40,1.5,build,desal
204,baseline.csv,state,0.1,high_threshold,1400,40,3.0,baseline,none
206,baseline.csv,state,0.1,high_threshold,1400,40,3.0,improved,none
209,baseline.csv,state,0.1,high_threshold,1400,40,3.0,build,desal
215,baseline.csv,state,0.1,high_threshold,1400,40,4.5,build,desal
221,baseline.csv,state,0.1,high_threshold,2800,20,1.5,build,desal
222,baseline.csv,state,0.1,high_threshold,2800,20,3.0,baseline,none
224,baseline.csv,state,0.1,high_threshold,2800,20,3.0,improved,none
227,baseline.csv,state,0.1,high_threshold,2800,20,3.0,build,desal
233,baseline.csv,state,0.1,high_threshold,2800,20,4.5,build,desal
239,baseline.csv,state,0.1,high_threshold,2800,30,1.5,build,desal
240,baseline.csv,state,0.1,high_threshold,2800,30,3.0,baseline,none
242,baseline.csv,state,0.1,high_threshold,2800,30,3.0,improved,none
245,baseline.csv,state,0.1,high_threshold,2800,30,3.0,build,desal
251,baseline.csv,state,0.1,high_threshold,2800,30,4.5,build,desal
257,baseline.csv,state,0.1,high_threshold,2800,40,1.5,build,desal
258,baseline.csv,state,0.1,high_threshold,2800,40,3.0,baseline,none
260,baseline.csv,state,0.1,high_threshold,2800,40,3.0,improved,none
263,baseline.csv,state,0.1,high_threshold,2800,40,3.0,build,desal
269,baseline.csv,state,0.1,high_threshold,2800,40,4.5,build,desal
275,baseline.csv,state,0.1,high_threshold,5600,20,1.5,build,desal
276,baseline.csv,state,0.1,high_threshold,5600,20,3.0,baseline,none
278,baseline.csv,state,0.1,high_threshold,5600,20,3.0,improved,none
281,baseline.csv,state,0.1,high_threshold,5600,20,3.0,build,desal
287,baseline.csv,state,0.1,high_threshold,5600,20,4.5,build,desal
293,baseline.csv,state,0.1,high_threshold,5600,30,1.5,build,desal
294,baseline.csv,state,0.1,high_threshold,5600,30,3.0,baseline,none
296,baseline.csv,state,0.1,high_threshold,5600,30,3.0,improved,none
299,baseline.csv,state,0.1,high_threshold,5600,30,3.0,build,desal
305,baseline.csv,state,0.1,high_threshold,5600,30,4.5,build,desal
311,baseline.csv,state,0.1,high_threshold,5600,40,1.5,build,desal
312,baseline.csv,state,0.1,high_threshold,5600,40,3.0,baseline,none
314,baseline.csv,state,0.1,high_threshold,5600,40,3.0,improved,none
317,baseline.csv,state,0.1,high_threshold,5600,40,3.0,build,desal
323,baseline.csv,state,0.1,high_threshold,5600,40,4.5,build,desal
329,baseline.csv,state,0.1,income_threshold,1400,20,1.5,build,desal
330,baseline.csv,state,0.1,income_threshold,1400,20,3.0,baseline,none
332,baseline.csv,state,0.1,income_threshold,1400,20,3.0,improved,none
335,baseline.csv,state,0.1,income_threshold,1400,20,3.0,build,desal
341,baseline.csv,state,0.1,income_threshold,1400,20,4.5,build,desal
347,baseline.csv,state,0.1,income_threshold,1400,30,1.5,build,desal
348,baseline.csv,state,0.1,income_threshold,1400,30,3.0,baseline,none
350,baseline.csv,state,0.1,income_threshold,1400,30,3.0,improved,none
353,baseline.csv,state,0.1,income_threshold,1400,30,3.0,build,desal
359,baseline.csv,state,0.1,income_threshold,1400,30,4.5,build,desal
365,baseline.csv,state,0.1,income_threshold,1400,40,1.5,build,desal
366,baseline.csv,state,0.1,income_threshold,1400,40,3.0,baseline,none
368,baseline.csv,state,0.1,income_threshold,1400,40,3.0,improved,none
371,baseline.csv,state,0.1,income_threshold,1400,40,3.0,build,desal
377,baseline.csv,state,0.1,income_threshold,1400,40,4.5,build,desal
383,baseline.csv,state,0.1,income_threshold,2800,20,1.5,build,desal
384,baseline.csv,state,0.1,income_threshold,2800,20,3.0,baseline,none
386,baseline.csv,state,0.1,income_threshold,2800,20,3.0,improved,none
389,baseline.csv,state,0.1,income_threshold,2800,20,3.0,build,desal
395,baseline.csv,state,0.1,income_threshold,2800,20,4.5,build,desal
401,baseline.csv,state,0.1,income_threshold,2800,30,1.5,build,desal
402,baseline.csv,state,0.1,income_threshold,2800,30,3.0,baseline,none
404,baseline.csv,state,0.1,income_threshold,2800,30,3.0,improved,none
407,baseline.csv,state,0.1,income_threshold,2800,30,3.0,build,desal
413,baseline.csv,state,0.1,income_threshold,2800,30,4.5,build,desal
419,baseline.csv,state,0.1,income_threshold,2800,40,1.5,build,desal
420,baseline.csv,state,0.1,income_threshold,2800,40,3.0,baseline,none
422,baseline.csv,state,0.1,income_threshold,2800,40,3.0,improved,none
425,baseline.csv,state,0.1,income_threshold,2800,40,3.0,build,desal
431,baseline.csv,state,0.1,income_threshold,2800,40,4.5,build,desal
437,baseline.csv,state,0.1,income_threshold,5600,20,1.5,build,desal
438,baseline.csv,state,0.1,income_threshold,5600,20,3.0,baseline,none
440,baseline.csv,state,0.1,income_threshold,5600,20,3.0,improved,none
443,baseline.csv,state,0.1,income_threshold,5600,20,3.0,build,desal
449,baseline.csv,state,0.1,income_threshold,5600,20,4.5,build,desal
455,baseline.csv,state,0.1,income_threshold,5600,30,1.5,build,desal
456,baseline.csv,state,0.1,income_threshold,5600,30,3.0,baseline,none
458,baseline.csv,state,0.1,income_threshold,5600,30,3.0,improved,none
461,baseline.csv,state,0.1,income_threshold,5600,30,3.0,build,desal
467,baseline.csv,state,0.1,income_threshold,5600,30,4.5,build,desal
473,baseline.csv,state,0.1,income_threshold,5600,40,1.5,build,desal
474,baseline.csv,state,0.1,income_threshold,5600,40,3.0,baseline,none
476,baseline.csv,state,0.1,income_threshold,5600,40,3.0,improved,none
479,baseline.csv,state,0.1,income_threshold,5600,40,3.0,build,desal
485,baseline.csv,state,0.1,income_threshold,5600,40,4.5,build,desal
491,baseline.csv,state,0.41,zero_threshold,1400,20,1.5,build,desal
492,baseline.csv,state,0.41,zero_threshold,1400,20,3.0,baseline,none
494,baseline.csv,state,0.41,zero_threshold,1400,20,3.0,improved,none
497,baseline.csv,state,0.41,zero_threshold,1400,20,3.0,build,desal
503,baseline.csv,state,0.41,zero_threshold,1400,20,4.5,build,desal
509,baseline.csv,state,0.41,zero_threshold,1400,30,1.5,build,desal
510,baseline.csv,state,0.41,zero_threshold,1400,30,3.0,baseline,none
512,baseline.csv,state,0.41,zero_threshold,1400,30,3.0,improved,none
515,baseline.csv,state,0.41,zero_threshold,1400,30,3.0,build,desal
521,baseline.csv,state,0.41,zero_threshold,1400,30,4.5,build,desal
527,baseline.csv,state,0.41,zero_threshold,1400,40,1.5,build,desal
528,baseline.csv,state,0.41,zero_threshold,1400,40,3.0,baseline,none
530,baseline.csv,state,0.41,zero_threshold,1400,40,3.0,improved,none
533,baseline.csv,state,0.41,zero_threshold,1400,40,3.0,build,desal
539,baseline.csv,state,0.41,zero_threshold,1400,40,4.5,build,desal
545,baseline.csv,state,0.41,zero_threshold,2800,20,1.5,build,desal
546,baseline.csv,state,0.41,zero_threshold,2800,20,3.0,baseline,none
548,baseline.csv,state,0.41,zero_threshold,2800,20,3.0,improved,none
551,baseline.csv,state,0.41,zero_threshold,2800,20,3.0,build,desal
557,baseline.csv,state,0.41,zero_threshold,2800,20,4.5,build,desal
563,baseline.csv,state,0.41,zero_threshold,2800,30,1.5,build,desal
564,baseline.csv,state,0.41,zero_threshold,2800,30,3.0,baseline,none
566,baseline.csv,state,0.41,zero_threshold,2800,30,3.0,improved,none
569,baseline.csv,state,0.41,zero_threshold,2800,30,3.0,build,desal
575,baseline.csv,state,0.41,zero_threshold,2800,30,4.5,build,desal
581,baseline.csv,state,0.41,zero_threshold,2800,40,1.5,build,desal
582,baseline.csv,state,0.41,zero_threshold,2800,40,3.0,baseline,none
584,baseline.csv,state,0.41,zero_threshold,2800,40,3.0,improved,none
587,baseline.csv,state,0.41,zero_threshold,2800,40,3.0,build,desal
593,baseline.csv,state,0.41,zero_threshold,2800,40,4.5,build,desal
599,baseline.csv,state,0.41,zero_threshold,5600,20,1.5,build,desal
600,baseline.csv,state,0.41,zero_threshold,5600,20,3.0,baseline,none
602,baseline.csv,state,0.41,zero_threshold,5600,20,3.0,improved,none
605,baseline.csv,state,0.41,zero_threshold,5600,20,3.0,build,desal
611,baseline.csv,state,0.41,zero_threshold,5600,20,4.5,build,desal
617,baseline.csv,state,0.41,zero_threshold,5600,30,1.5,build,desal
618,baseline.csv,state,0.41,zero_threshold,5600,30,3.0,baseline,none
620,baseline.csv,state,0.41,zero_threshold,5600,30,3.0,improved,none
623,baseline.csv,state,0.41,zero_threshold,5600,30,3.0,build,desal
629,baseline.csv,state,0.41,zero_threshold,5600,30,4.5,build,desal
635,baseline.csv,state,0.41,zero_threshold,5600,40,1.5,build,desal
636,baseline.csv,state,0.41,zero_threshold,5600,40,3.0,baseline,none
638,baseline.csv,state,0.41,zero_threshold,5600,40,3.0,improved,none
641,baseline.csv,state,0.41,zero_threshold,5600,40,3.0,build,desal
647,baseline.csv,state,0.41,zero_threshold,5600,40,4.5,build,desal
653,baseline.csv,state,0.41,high_threshold,1400,20,1.5,build,desal
654,baseline.csv,state,0.41,high_threshold,1400,20,3.0,baseline,none
656,baseline.csv,state,0.41,high_threshold,1400,20,3.0,improved,none
659,baseline.csv,state,0.41,high_threshold,1400,20,3.0,build,desal
665,baseline.csv,state,0.41,high_threshold,1400,20,4.5,build,desal
671,baseline.csv,state,0.41,high_threshold,1400,30,1.5,build,desal
672,baseline.csv,state,0.41,high_threshold,1400,30,3.0,baseline,none
674,baseline.csv,state,0.41,high_threshold,1400,30,3.0,improved,none
677,baseline.csv,state,0.41,high_threshold,1400,30,3.0,build,desal
683,baseline.csv,state,0.41,high_threshold,1400,30,4.5,build,desal
689,baseline.csv,state,0.41,high_threshold,1400,40,1.5,build,desal
690,baseline.csv,state,0.41,high_threshold,1400,40,3.0,baseline,none
692,baseline.csv,state,0.41,high_threshold,1400,40,3.0,improved,none
695,baseline.csv,state,0.41,high_threshold,1400,40,3.0,build,desal
701,baseline.csv,state,0.41,high_threshold,1400,40,4.5,build,desal
707,baseline.csv,state,0.41,high_threshold,2800,20,1.5,build,desal
708,baseline.csv,state,0.41,high_threshold,2800,20,3.0,baseline,none
710,baseline.csv,state,0.41,high_threshold,2800,20,3.0,improved,none
713,baseline.csv,state,0.41,high_threshold,2800,20,3.0,build,desal
719,baseline.csv,state,0.41,high_threshold,2800,20,4.5,build,desal
725,baseline.csv,state,0.41,high_threshold,2800,30,1.5,build,desal
726,baseline.csv,state,0.41,high_threshold,2800,30,3.0,baseline,none
728,baseline.csv,state,0.41,high_threshold,2800,30,3.0,improved,none
731,baseline.csv,state,0.41,high_threshold,2800,30,3.0,build,desal
737,baseline.csv,state,0.41,high_threshold,2800,30,4.5,build,desal
743,baseline.csv,state,0.41,high_threshold,2800,40,1.5,build,desal
744,baseline.csv,state,0.41,high_threshold,2800,40,3.0,baseline,none
746,baseline.csv,state,0.41,high_threshold,2800,40,3.0,improved,none
749,baseline.csv,state,0.41,high_threshold,2800,40,3.0,build,desal
755,baseline.csv,state,0.41,high_threshold,2800,40,4.5,build,desal
761,baseline.csv,state,0.41,high_threshold,5600,20,1.5,build,desal
762,baseline.csv,state,0.41,high_threshold,5600,20,3.0,baseline,none
764,baseline.csv,state,0.41,high_threshold,5600,20,3.0,improved,none
767,baseline.csv,state,0.41,high_threshold,5600,20,3.0,build,desal
773,baseline.csv,state,0.41,high_threshold,5600,20,4.5,build,desal
779,baseline.csv,state,0.41,high_threshold,5600,30,1.5,build,desal
780,baseline.csv,state,0.41,high_threshold,5600,30,3.0,baseline,none
782,baseline.csv,state,0.41,high_threshold,5600,30,3.0,improved,none
785,baseline.csv,state,0.41,high_threshold,5600,30,3.0,build,desal
791,baseline.csv,state,0.41,high_threshold,5600,30,4.5,build,desal
797,baseline.csv,state,0.41,high_threshold,5600,40,1.5,build,desal
798,baseline.csv,state,0.41,high_threshold,5600,40,3.0,baseline,none
800,baseline.csv,state,0.41,high_threshold,5600,40,3.0,improved,none
803,baseline.csv,state,0.41,high_threshold,5600,40,3.0,build,desal
809,baseline.csv,state,0.41,high_threshold,5600,40,4.5,build,desal
815,baseline.csv,state,0.41,income_threshold,1400,20,1.5,build,desal
816,baseline.csv,state,0.41,income_threshold,1400,20,3.0,baseline,none
818,baseline.csv,state,0.41,income_threshold,1400,20,3.0,improved,none
821,baseline.csv,state,0.41,income_threshold,1400,20,3.0,build,desal
827,baseline.csv,state,0.41,income_threshold,1400,20,4.5,build,desal
833,baseline.csv,state,0.41,income_threshold,1400,30,1.5,build,desal
834,baseline.csv,state,0.41,income_threshold,1400,30,3.0,baseline,none
836,baseline.csv,state,0.41,income_threshold,1400,30,3.0,improved,none
839,baseline.csv,state,0.41,income_threshold,1400,30,3.0,build,desal
845,baseline.csv,state,0.41,income_threshold,1400,30,4.5,build,desal
851,baseline.csv,state,0.41,income_threshold,1400,40,1.5,build,desal
852,baseline.csv,state,0.41,income_threshold,1400,40,3.0,baseline,none
854,baseline.csv,state,0.41,income_threshold,1400,40,3.0,improved,none
857,baseline.csv,state,0.41,income_threshold,1400,40,3.0,build,desal
863,baseline.csv,state,0.41,income_threshold,1400,40,4.5,build,desal
869,baseline.csv,state,0.41,income_threshold,2800,20,1.5,build,desal
870,baseline.csv,state,0.41,income_threshold,2800,20,3.0,baseline,none
872,baseline.csv,state,0.41,income_threshold,2800,20,3.0,improved,none
875,baseline.csv,state,0.41,income_threshold,2800,20,3.0,build,desal
881,baseline.csv,state,0.41,income_threshold,2800,20,4.5,build,desal
887,baseline.csv,state,0.41,income_threshold,2800,30,1.5,build,desal
888,baseline.csv,state,0.41,income_threshold,2800,30,3.0,baseline,none
890,baseline.csv,state,0.41,income_threshold,2800,30,3.0,improved,none
893,baseline.csv,state,0.41,income_threshold,2800,30,3.0,build,desal
899,baseline.csv,state,0.41,income_threshold,2800,30,4.5,build,desal
905,baseline.csv,state,0.41,income_threshold,2800,40,1.5,build,desal
906,baseline.csv,state,0.41,income_threshold,2800,40,3.0,baseline,none
908,baseline.csv,state,0.41,income_threshold,2800,40,3.0,improved,none
911,baseline.csv,state,0.41,income_threshold,2800,40,3.0,build,desal
917,baseline.csv,state,0.41,income_threshold,2800,40,4.5,build,desal
923,baseline.csv,state,0.41,income_threshold,5600,20,1.5,build,desal
924,baseline.csv,state,0.41,income_threshold,5600,20,3.0,baseline,none
926,baseline.csv,state,0.41,income_threshold,5600,20,3.0,improved,none
929,baseline.csv,state,0.41,income_threshold,5600,20,3.0,build,desal
935,baseline.csv,state,0.41,income_threshold,5600,20,4.5,build,desal
941,baseline.csv,state,0.41,income_threshold,5600,30,1.5,build,desal
942,baseline.csv,state,0.41,income_threshold,5600,30,3.0,baseline,none
944,baseline.csv,state,0.41,income_threshold,5600,30,3.0,improved,none
947,baseline.csv,state,0.41,income_threshold,5600,30,3.0,build,desal
953,baseline.csv,state,0.41,income_threshold,5600,30,4.5,build,desal
959,baseline.csv,state,0.41,income_threshold,5600,40,1.5,build,desal
960,baseline.csv,state,0.41,income_threshold,5600,40,3.0,baseline,none
962,baseline.csv,state,0.41,income_threshold,5600,40,3.0,improved,none
965,baseline.csv,state,0.41,income_threshold,5600,40,3.0,build,desal
971,baseline.csv,state,0.41,income_threshold,5600,40,4.5,build,desal
977,baseline.csv,state,0.7,zero_threshold,1400,20,1.5,build,desal
978,baseline.csv,state,0.7,zero_threshold,1400,20,3.0,baseline,none
980,baseline.csv,state,0.7,zero_threshold,1400,20,3.0,improved,none
983,baseline.csv,state,0.7,zero_threshold,1400,20,3.0,build,desal
989,baseline.csv,state,0.7,zero_threshold,1400,20,4.5,build,desal
995,baseline.csv,state,0.7,zero_threshold,1400,30,1.5,build,desal
996,baseline.csv,state,0.7,zero_threshold,1400,30,3.0,baseline,none
998,baseline.csv,state,0.7,zero_threshold,1400,30,3.0,improved,none
1001,baseline.csv,state,0.7,zero_threshold,1400,30,3.0,build,desal
1007,baseline.csv,state,0.7,zero_threshold,1400,30,4.5,build,desal
1013,baseline.csv,state,0.7,zero_threshold,1400,40,1.5,build,desal
1014,baseline.csv,state,0.7,zero_threshold,1400,40,3.0,baseline,none
1016,baseline.csv,state,0.7,zero_threshold,1400,40,3.0,improved,none
1019,baseline.csv,state,0.7,zero_threshold,1400,40,3.0,build,desal
1025,baseline.csv,state,0.7,zero_threshold,1400,40,4.5,build,desal
1031,baseline.csv,state,0.7,zero_threshold,2800,20,1.5,build,desal
1032,baseline.csv,state,0.7,zero_threshold,2800,20,3.0,baseline,none
1034,baseline.csv,state,0.7,zero_threshold,2800,20,3.0,improved,none
1037,baseline.csv,state,0.7,zero_threshold,2800,20,3.0,build,desal
1043,baseline.csv,state,0.7,zero_threshold,2800,20,4.5,build,desal
1049,baseline.csv,state,0.7,zero_threshold,2800,30,1.5,build,desal
1050,baseline.csv,state,0.7,zero_threshold,2800,30,3.0,baseline,none
1052,baseline.csv,state,0.7,zero_threshold,2800,30,3.0,improved,none
1055,baseline.csv,state,0.7,zero_threshold,2800,30,3.0,build,desal
1061,baseline.csv,state,0.7,zero_threshold,2800,30,4.5,build,desal
1067,baseline.csv,state,0.7,zero_threshold,2800,40,1.5,build,desal
1068,baseline.csv,state,0.7,zero_threshold,2800,40,3.0,baseline,none
1070,baseline.csv,state,0.7,zero_threshold,2800,40,3.0,improved,none
1073,baseline.csv,state,0.7,zero_threshold,2800,40,3.0,build,desal
1079,baseline.csv,state,0.7,zero_threshold,2800,40,4.5,build,desal
1085,baseline.csv,state,0.7,zero_threshold,5600,20,1.5,build,desal
1086,baseline.csv,state,0.7,zero_threshold,5600,20,3.0,baseline,none
1088,baseline.csv,state,0.7,zero_threshold,5600,20,3.0,improved,none
1091,baseline.csv,state,0.7,zero_threshold,5600,20,3.0,build,desal
1097,baseline.csv,state,0.7,zero_threshold,5600,20,4.5,build,desal
1103,baseline.csv,state,0.7,zero_threshold,5600,30,1.5,build,desal
1104,baseline.csv,state,0.7,zero_threshold,5600,30,3.0,baseline,none
1106,baseline.csv,state,0.7,zero_threshold,5600,30,3.0,improved,none
1109,baseline.csv,state,0.7,zero_threshold,5600,30,3.0,build,desal
1115,baseline.csv,state,0.7,zero_threshold,5600,30,4.5,build,desal
1121,baseline.csv,state,0.7,zero_threshold,5600,40,1.5,build,desal
1122,baseline.csv,state,0.7,zero_threshold,5600,40,3.0,baseline,none
1124,baseline.csv,state,0.7,zero_threshold,5600,40,3.0,improved,none
1127,baseline.csv,state,0.7,zero_threshold,5600,40,3.0,build,desal
1133,baseline.csv,state,0.7,zero_threshold,5600,40,4.5,build,desal
1139,baseline.csv,state,0.7,high_threshold,1400,20,1.5,build,desal
1140,baseline.csv,state,0.7,high_threshold,1400,20,3.0,baseline,none
1142,baseline.csv,state,0.7,high_threshold,1400,20,3.0,improved,none
1145,baseline.csv,state,0.7,high_threshold,1400,20,3.0,build,desal
1151,baseline.csv,state,0.7,high_threshold,1400,20,4.5,build,desal
1157,baseline.csv,state,0.7,high_threshold,1400,30,1.5,build,desal
1158,baseline.csv,state,0.7,high_threshold,1400,30,3.0,baseline,none
1160,baseline.csv,state,0.7,high_threshold,1400,30,3.0,improved,none
1163,baseline.csv,state,0.7,high_threshold,1400,30,3.0,build,desal
1169,baseline.csv,state,0.7,high_threshold,1400,30,4.5,build,desal
1175,baseline.csv,state,0.7,high_threshold,1400,40,1.5,build,desal
1176,baseline.csv,state,0.7,high_threshold,1400,40,3.0,baseline,none
1178,baseline.csv,state,0.7,high_threshold,1400,40,3.0,improved,none
1181,baseline.csv,state,0.7,high_threshold,1400,40,3.0,build,desal
1187,baseline.csv,state,0.7,high_threshold,1400,40,4.5,build,desal
1193,baseline.csv,state,0.7,high_threshold,2800,20,1.5,build,desal
1194,baseline.csv,state,0.7,high_threshold,2800,20,3.0,baseline,none
1196,baseline.csv,state,0.7,high_threshold,2800,20,3.0,improved,none
1199,baseline.csv,state,0.7,high_threshold,2800,20,3.0,build,desal
1205,baseline.csv,state,0.7,high_threshold,2800,20,4.5,build,desal
1211,baseline.csv,state,0.7,high_threshold,2800,30,1.5,build,desal
1212,baseline.csv,state,0.7,high_threshold,2800,30,3.0,baseline,none
1214,baseline.csv,state,0.7,high_threshold,2800,30,3.0,improved,none
1217,baseline.csv,state,0.7,high_threshold,2800,30,3.0,build,desal
1223,baseline.csv,state,0.7,high_threshold,2800,30,4.5,build,desal
1229,baseline.csv,state,0.7,high_threshold,2800,40,1.5,build,desal
1230,baseline.csv,state,0.7,high_threshold,2800,40,3.0,baseline,none
1232,baseline.csv,state,0.7,high_threshold,2800,40,3.0,improved,none
1235,baseline.csv,state,0.7,high_threshold,2800,40,3.0,build,desal
1241,baseline.csv,state,0.7,high_threshold,2800,40,4.5,build,desal
1247,baseline.csv,state,0.7,high_threshold,5600,20,1.5,build,desal
1248,baseline.csv,state,0.7,high_threshold,5600,20,3.0,baseline,none
1250,baseline.csv,state,0.7,high_threshold,5600,20,3.0,improved,none
1253,baseline.csv,state,0.7,high_threshold,5600,20,3.0,build,desal
1259,baseline.csv,state,0.7,high_threshold,5600,20,4.5,build,desal
1265,baseline.csv,state,0.7,high_threshold,5600,30,1.5,build,desal
1266,baseline.csv,state,0.7,high_threshold,5600,30,3.0,baseline,none
1268,baseline.csv,state,0.7,high_threshold,5600,30,3.0,improved,none
1271,baseline.csv,state,0.7,high_threshold,5600,30,3.0,build,desal
1277,baseline.csv,state,0.7,high_threshold,5600,30,4.5,build,desal
1283,baseline.csv,state,0.7,high_threshold,5600,40,1.5,build,desal
1284,baseline.csv,state,0.7,high_threshold,5600,40,3.0,baseline,none
1286,baseline.csv,state,0.7,high_threshold,5600,40,3.0,improved,none
1289,baseline.csv,state,0.7,high_threshold,5600,40,3.0,build,desal
1295,baseline.csv,state,0.7,high_threshold,5600,40,4.5,build,desal
1301,baseline.csv,state,0.7,income_threshold,1400,20,1.5,build,desal
1302,baseline.csv,state,0.7,income_threshold,1400,20,3.0,baseline,none
1304,baseline.csv,state,0.7,income_threshold,1400,20,3.0,improved,none
1307,baseline.csv,state,0.7,income_threshold,1400,20,3.0,build,desal
1313,baseline.csv,state,0.7,income_threshold,1400,20,4.5,build,desal
1319,baseline.csv,state,0.7,income_threshold,1400,30,1.5,build,desal
1320,baseline.csv,state,0.7,income_threshold,1400,30,3.0,baseline,none
1322,baseline.csv,state,0.7,income_threshold,1400,30,3.0,improved,none
1325,baseline.csv,state,0.7,income_threshold,1400,30,3.0,build,desal
1331,baseline.csv,state,0.7,income_threshold,1400,30,4.5,build,desal
1337,baseline.csv,state,0.7,income_threshold,1400,40,1.5,build,desal
1338,baseline.csv,state,0.7,income_threshold,1400,40,3.0,baseline,none
1340,baseline.csv,state,0.7,income_threshold,1400,40,3.0,improved,none
1343,baseline.csv,state,0.7,income_threshold,1400,40,3.0,build,desal
1349,baseline.csv,state,0.7,income_threshold,1400,40,4.5,build,desal
1355,baseline.csv,state,0.7,income_threshold,2800,20,1.5,build,desal
1356,baseline.csv,state,0.7,income_threshold,2800,20,3.0,baseline,none
1358,baseline.csv,state,0.7,income_threshold,2800,20,3.0,improved,none
1361,baseline.csv,state,0.7,income_threshold,2800,20,3.0,build,desal
1367,baseline.csv,state,0.7,income_threshold,2800,20,4.5,build,desal
1373,baseline.csv,state,0.7,income_threshold,2800,30,1.5,build,desal
1374,baseline.csv,state,0.7,income_threshold,2800,30,3.0,baseline,none
1376,baseline.csv,state,0.7,income_threshold,2800,30,3.0,improved,none
1379,baseline.csv,state,0.7,income_threshold,2800,30,3.0,build,desal
1385,baseline.csv,state,0.7,income_threshold,2800,30,4.5,build,desal
1391,baseline.csv,state,0.7,income_threshold,2800,40,1.5,build,desal
1392,baseline.csv,state,0.7,income_threshold,2800,40,3.0,baseline,none
