,date,northCoast,taitStreet,feltonDiversions,newellInflow,newellUsed,,Annual Summary ,Surface Water,Felton diversion,Reservoir inflows,Reservoir Inflows
29,5/1/11,133.6705292,128.1695074,0,0,11.07893206,,2016,1318.963155,82.34905032,58.40226452,
30,6/1/11,112.2404444,120.9374788,0,0,15.80377074,,2017,1669.353932,0,2.597032016,
31,7/1/11,113.2704484,194.2827692,0,0,0.782042263,,2018,1352.955925,0,15.89145723,
32,8/1/11,96.94038379,198.9927878,0,0,0.032585094,,2019,1508.096818,0,10.85969955,
33,9/1/11,70.71027995,201.1857965,0,0,1.433744149,,,,,,
34,10/1/11,91.37036174,128.7005095,0,1.303403772,30.3041377,,,,,,
35,11/1/11,78.69031154,117.194464,0,53.34179938,24.34106544,,Worst case summer,1127.64629,0,0,
36,12/1/11,70.01027718,146.8805815,0,0,0.22809566,,,,,,
37,1/1/12,56.71022452,152.560604,30.09611915,115.9051804,0,,,Surface Water ,Demand,Res Inflows,summer + 1 deficit 
38,2/1/12,48.3201913,161.0306375,11.2650446,10.03620905,0,,Worst case summer + 1 year ,3057.824352,4653.416667,260,1335.592315
39,3/1/12,47.97018992,100.5103979,0,159.3085261,63.34542333,,,,,,
40,4/1/12,36.45014431,129.1105112,0,56.50255352,56.50255352,,Amount needed in april to meet policy:,2435.592315,,,
41,5/1/12,66.430263,182.1707212,0,0,19.12745036,,%-age ,0.869854398,,,
42,6/1/12,59.20023438,220.2008718,0,29.26141468,29.26141468,,,,,,
43,7/1/12,84.9703364,226.4408965,0,0,17.66112111,,"So if we dip below 87% full, we have to conserve. That's the policy",,,,
44,8/1/12,80.94032045,224.9008904,0,0,14.95655829,,,,,,
45,9/1/12,74.55029515,206.870819,0,0,12.74077187,,FROM UWMP,,,,
46,10/1/12,71.58028339,170.0506732,0,70.02536766,40.0470809,,Need 1100 at the end of year 2,,,,
47,11/1/12,56.05022191,112.8104466,0,343.9356704,74.00074916,,Assume 75% of supplies available during year 2,,,,
48,12/1/12,27.39010844,90.0703566,0,82.21219293,92.21581688,,Assume perfect foresight during year 1,,,,
49,1/1/13,21.56579296,179.4107103,0,24.17813997,22.81608303,,,,,,
50,2/1/13,4.290479367,186.1807371,21.50008512,0,0,,,Surface Water ,,ll inflows,Deficit
51,3/1/13,30.96235661,201.6907985,0,32.29182846,2.593773507,,"""normal year"" (from UWMP)",2519,,595,
52,4/1/13,32.65612981,204.0408078,0,7.853007727,37.26431385,,75% of that or worst case,1889.25,,260,789.75
53,5/1/13,34.35804928,231.4309163,0,0,74.60683192,,,,,,
54,6/1/13,44.91203548,222.4508807,0,0,54.34216177,,,,,,
55,7/1/13,43.23390312,214.5008492,0,7.983348104,72.97106018,,,,,,
56,8/1/13,44.00616986,85.77033957,0,0,198.1890606,,,,,,
57,9/1/13,38.4569283,119.6504737,0,0,140.5883894,,,,,,
58,10/1/13,38.28096879,135.3105357,0,1.759595092,128.8023608,,,,,,
59,11/1/13,35.25381353,142.6505648,0,0,77.17127884,,,,,,
60,12/1/13,31.790018,187.1107408,0,0,15.27915072,,,,,,
61,1/1/14,38.22231562,199.4007894,0,0,5.800022963,,,,,,
62,2/1/14,47.67525148,110.7004383,0,46.30018331,38.50015242,,,,,,
63,3/1/14,41.58640075,154.2006105,0,51.00020191,19.6000776,,,,,,
64,4/1/14,30.9949417,169.8006723,0,13.00005147,0.900003563,,,,,,
65,5/1/14,45.84396918,180.8007158,0,0,0.200000792,,,,,,
66,6/1/14,42.23028222,170.500675,0,0,8.80003484,,,,,,
67,7/1/14,42.52354807,151.4005994,0,0,40.60016074,,,,,,
68,8/1/14,41.6698186,120.0004751,0,0,59.00023359,,,,,,
69,9/1/14,39.79943418,109.8004347,0,0,45.10017855,,,,,,
70,10/1/14,39.54852896,121.500481,0,4.000015836,41.40016391,,,,,,
71,11/1/14,40.7052998,105.5004177,0,20.60008156,23.40009264,,,,,,
72,12/1/14,52.14918492,39.80015757,38.10015084,263.8010444,34.50013659,,,,,,
73,1/1/15,52.40986568,137.0496481,0.57349766,23.58183275,0.153149943,,,,,,
74,2/1/15,28.86387653,135.5930944,18.64193245,146.5873052,0,,,,,,
75,3/1/15,26.2603275,172.4631286,9.469228405,83.00075221,0.290007339,,,,,,
76,4/1/15,31.09595549,174.4768874,0.035843604,4.715063146,4.715063146,,,,,,
77,5/1/15,45.37474382,148.5424109,0,0.234612679,0.234612679,,,,,,
78,6/1/15,41.93375786,162.7071514,0,0.980811339,0.980811339,,,,,,
79,7/1/15,41.66004307,122.0116271,53.05179204,1.238233584,1.238233584,,,,,,
80,8/1/15,41.51992716,88.95404894,1.171759991,0,92.85122622,,,,,,
81,9/1/15,38.08219971,72.76251558,0,0,99.50184397,,,,,,
82,10/1/15,38.01702952,80.5079925,0,0,107.3222666,,,,,,
83,11/1/15,38.40153364,99.9971374,0,25.97683718,56.65244496,,,,,,
84,12/1/15,48.13795981,63.35519885,0,67.37619949,67.38597502,,,,,,
85,1/1/16,33.15859196,79.45549395,39.21290249,222.2336017,24.65388235,,,,,,
86,2/1/16,60.95693591,104.9989494,3.072774393,54.85374775,0,,,,,,
87,3/1/16,66.90697413,62.28314925,55.31189418,462.9787954,0,,,,,,
88,4/1/16,59.66982469,127.2285007,14.99240189,0.006517019,0.094496773,,,,,,
89,5/1/16,47.7176121,181.6553837,0,3.232441355,10.25452918,,,,,,
90,6/1/16,60.32152658,185.2951388,4.359885618,5.451486277,5.451486277,,,,,,
91,7/1/16,51.41927881,188.322294,62.99676282,1.841057828,1.841057828,,,,,,
92,8/1/16,50.13216759,105.8689714,0,0,17.48842011,,,,,,
93,9/1/16,38.89031005,97.50763619,0,0,82.43377157,,,,,,
94,10/1/16,22.10898649,102.8255236,0,47.87076204,94.6759915,,,,,,
95,11/1/16,21.6984143,132.3443605,0,11.5742255,27.46271748,,,,,,
96,12/1/16,28.90949567,71.3874246,0,18.37799319,52.7976283,,,,,,
97,1/1/17,71.93811269,39.83201928,0,249.8690201,39.44425665,,,,,,
98,2/1/17,47.05939319,43.38053605,0,41.78386643,41.78256302,,,,,,
99,3/1/17,108.6517384,78.11950508,0,3.476829562,3.476829562,,,,,,
100,4/1/17,60.97974548,130.1513837,0,0.716872075,0.716872075,,,,,,
101,5/1/17,77.76106905,153.1466847,0,1.880159941,26.31572216,,,,,,
102,6/1/17,43.90189756,195.6409062,0,0,28.6781415,,,,,,
103,7/1/17,87.37693038,198.7039051,0,0,5.83273188,,,,,,
104,8/1/17,78.34760074,195.562702,0,0,0.723389094,,,,,,
105,9/1/17,46.24150733,168.8494417,0,0,12.33997521,,,,,,
106,10/1/17,22.60753843,210.08262,0,0,7.064448445,,,,,,
107,11/1/17,36.32260462,93.64630252,0,0,45.26069599,,,,,,
108,12/1/17,33.47140887,157.568482,0,0,0.006517019,,,,,,
109,1/1/18,39.27481416,126.2248798,0,55.99999361,15.39952006,,,,,,
110,2/1/18,37.12093943,124.4880943,0,0,3.102459414,,,,,,
111,3/1/18,42.71905863,72.95802615,6.23698256,170.969656,65.40858116,,,,,,
112,4/1/18,37.79870939,140.2071438,0,15.89145723,11.413972,,,,,,
113,5/1/18,28.96489033,156.69846,0,0,18.7998724,,,,,,
114,6/1/18,41.55577077,169.843287,0,0,18.97488694,,,,,,
115,7/1/18,52.08075623,174.5746427,0,0,15.85199668,,,,,,
116,8/1/18,53.10392819,136.0786123,0,0,41.23607841,,,,,,
117,9/1/18,50.42543344,122.8881661,0,0,49.49385817,,,,,,
118,10/1/18,49.31754023,139.4185845,0,0,56.85730744,,,,,,
119,11/1/18,44.98046418,99.72342261,0,6.745342617,61.00851812,,,,,,
120,12/1/18,45.18900878,32.12564447,0,7.0953717,107.3454998,,,,,,
121,1/1/19,46.97467195,72.13036475,0,385.7674369,77.58253531,,,,,,
122,2/1/19,33.1357824,70.56302171,0,68.42104054,68.81766631,,,,,,
123,3/1/19,56.78930235,100.7465946,0,51.8405715,51.8405715,,,,,,
124,4/1/19,104.4124177,100.1568044,0,3.861822451,8.080647196,,,,,,
125,5/1/19,62.70023846,142.9117066,0,6.997877097,20.81073116,,,,,,
126,6/1/19,87.15861024,156.7668887,0,0,0.031640127,,,,,,
127,7/1/19,79.59560986,174.672398,0,0,11.8194935,,,,,,
128,8/1/19,66.42145623,163.0655874,0,0,8.329890582,,,,,,
129,9/1/19,39.42144709,144.9124314,0,0,69.88173256,,,,,,
130,10/1/19,35.82079417,150.0804273,0,0,70.33925987,,,,,,
131,11/1/19,24.57567812,155.2256137,0,5.87763414,42.69729179,,,,,,
132,12/1/19,42.46163639,65.69155012,0,35.75321268,90.24927385,,,,,,
